Id,ChatId,Name,Location,Subscribed,State,Lat,Lon
635411685,635411685,Oki4_Doki,Бостон,true,0,3.4028235E38,3.4028235E38
351730666,351730666,marcenavuc,Екатеринбург,true,0,3.4028235E38,3.4028235E38
3344077,0,mark,null,false,0,3.4028235E38,3.4028235E38
